PONID|SEQNO|ACCNO|ACCDM|CLSBS|PONUM|BSNTP|BSREF|TRAMN|INAMT|RMAMN|MVMTP|TRNDT|DUEDT|ASSCDAG|PMPINST|TRINST|NODAYS|OVBAND|FLAG01|
19101000124133104579|236678|19|1010001|2413|3104579|2|22001|195.00|195.00|195.00||2020-04-09|2020-06-09|A1010001|1|1|52|60||
19101000124133104579|421413|19|1010001|2413|3104579|1|0|-50.00|-50.00|.00|RM|2020-06-22|2020-06-22|A1010001|4|0|0|0||
19101009711023100054|190952|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-02-05|A1010097|12|1|907|361|X|
19101009711023100054|190953|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-03-05|A1010097|12|2|879|361|X|
19101009711023100054|372699|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-03-13|A1010097|12|1|871|361|X|
19101009711023100054|431589|19|1010097|1102|3100054|3|21711|-220.00|-220.00|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|434334|19|1010097|1102|3100054|3|21708|-232.93|-232.93|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|451650|19|1010097|1102|3100054|3|21709|-237.71|-237.71|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|468533|19|1010097|1102|3100054|3|21707|-212.52|-212.52|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|474275|19|1010097|1102|3100054|3|21706|-168.51|-168.51|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|483184|19|1010097|1102|3100054|2|21701|-1904.00|-1904.00|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|483185|19|1010097|1102|3100054|2|21701|1902.29|1902.29|.00|RF|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|506072|19|1010097|1102|3100054|3|21705|-480.50|-480.50|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|511185|19|1010097|1102|3100054|3|21710|-350.12|-350.12|.00|RM|2018-04-04|2018-04-04|A1010097|4|0|0|0||
19101009711023100054|190954|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-04-05|A1010097|12|3|848|361|X|
19101009711023100054|372700|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-04-13|A1010097|12|2|840|361|X|
19101009711023100054|190955|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-05-05|A1010097|12|4|818|361|X|
19101009711023100054|372701|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-05-13|A1010097|12|3|810|361|X|
19101009711023100054|190956|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-06-05|A1010097|12|5|787|361|X|
19101009711023100054|372702|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-06-13|A1010097|12|4|779|361|X|
19101009711023100054|190957|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-07-05|A1010097|12|6|757|361|X|
19101009711023100054|372703|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-07-13|A1010097|12|5|749|361|X|
19101009711023100054|58397|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2018-08-01|A1010097|12|1|730|361|X|
19101009711023100054|190958|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-08-05|A1010097|12|7|726|361|X|
19101009711023100054|372704|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-08-13|A1010097|12|6|718|361|X|
19101009711023100054|58398|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2018-09-01|A1010097|12|2|699|361|X|
19101009711023100054|190959|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-09-05|A1010097|12|8|695|361|X|
19101009711023100054|372705|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-09-13|A1010097|12|7|687|361|X|
19101009711023100054|58399|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2018-10-01|A1010097|12|3|669|361|X|
19101009711023100054|190960|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-10-05|A1010097|12|9|665|361|X|
19101009711023100054|372706|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-10-13|A1010097|12|8|657|361|X|
19101009711023100054|58400|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2018-11-01|A1010097|12|4|638|361|X|
19101009711023100054|190961|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-11-05|A1010097|12|10|634|361|X|
19101009711023100054|372707|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-11-13|A1010097|12|9|626|361|X|
19101009711023100054|58401|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2018-12-01|A1010097|12|5|608|361|X|
19101009711023100054|190962|19|1010097|1102|3100054|3|21801|191.00|15.91|.00||2018-02-05|2018-12-05|A1010097|12|11|604|361|X|
19101009711023100054|372708|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2018-12-13|A1010097|12|10|596|361|X|
19101009711023100054|58402|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2019-01-01|A1010097|12|6|577|361|X|
19101009711023100054|117557|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|165519|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|181380|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|198861|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|230731|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|240615|19|1010097|1102|3100054|3|21712|176.68|14.72|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|288128|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|291530|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|369007|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-01-01|A1010097|12|1|577|361|X|
19101009711023100054|190963|19|1010097|1102|3100054|3|21801|191.00|15.99|.00||2018-02-05|2019-01-05|A1010097|12|12|573|361|X|
19101009711023100054|372709|19|1010097|1102|3100054|3|21802|206.80|17.23|.00||2018-03-13|2019-01-13|A1010097|12|11|565|361|X|
19101009711023100054|58403|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2019-02-01|A1010097|12|7|546|361|X|
19101009711023100054|117558|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|165520|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|181381|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|198862|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|230732|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|240616|19|1010097|1102|3100054|3|21712|176.68|14.72|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|288129|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|291531|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|369008|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-02-01|A1010097|12|2|546|361|X|
19101009711023100054|372710|19|1010097|1102|3100054|3|21802|206.80|17.27|.00||2018-03-13|2019-02-13|A1010097|12|12|534|361|X|
19101009711023100054|58404|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2019-03-01|A1010097|12|8|518|361|X|
19101009711023100054|117559|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|165521|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|181382|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|198863|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|230733|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|240617|19|1010097|1102|3100054|3|21712|176.68|14.72|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|288130|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|291532|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|369009|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-03-01|A1010097|12|3|518|361|X|
19101009711023100054|58405|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2019-04-01|A1010097|12|9|487|361|X|
19101009711023100054|117560|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|165522|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|181383|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|198864|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|230734|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|240618|19|1010097|1102|3100054|3|21712|176.68|14.72|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|288131|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|291533|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|369010|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-04-01|A1010097|12|4|487|361|X|
19101009711023100054|58406|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2019-05-01|A1010097|12|10|457|361|X|
19101009711023100054|117561|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|165523|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|181384|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|198865|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|230735|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|240619|19|1010097|1102|3100054|3|21712|176.68|14.72|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|288132|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|291534|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|369011|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-05-01|A1010097|12|5|457|361|X|
19101009711023100054|58407|19|1010097|1102|3100054|2|21801|1.71|.14|.00||2018-08-01|2019-06-01|A1010097|12|11|426|361|X|
19101009711023100054|117562|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|165524|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|181385|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|198866|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|230736|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|240620|19|1010097|1102|3100054|3|21712|176.68|14.72|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|288133|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|291535|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|369012|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-06-01|A1010097|12|6|426|361|X|
19101009711023100054|58408|19|1010097|1102|3100054|2|21801|1.71|.17|.00||2018-08-01|2019-07-01|A1010097|12|12|396|361|X|
19101009711023100054|117563|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|165525|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|181386|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|198867|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|230737|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|240621|19|1010097|1102|3100054|3|21712|176.68|14.72|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|288134|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|291536|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|369013|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-07-01|A1010097|12|7|396|361|X|
19101009711023100054|117564|19|1010097|1102|3100054|2|21701|1.71|.14|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|165526|19|1010097|1102|3100054|3|21708|232.93|19.41|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|181387|19|1010097|1102|3100054|3|21709|237.71|19.80|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|198868|19|1010097|1102|3100054|3|21707|212.52|17.71|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|230738|19|1010097|1102|3100054|3|21705|480.50|40.04|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|240622|19|1010097|1102|3100054|3|21712|176.68|14.72|14.31||2019-01-01|2019-08-01|A1010097|12|8|365|361||
19101009711023100054|288135|19|1010097|1102|3100054|3|21711|417.91|34.82|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|291537|19|1010097|1102|3100054|3|21706|168.51|14.04|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|369014|19|1010097|1102|3100054|3|21710|350.12|29.17|.00||2019-01-01|2019-08-01|A1010097|12|8|365|361|X|
19101009711023100054|117565|19|1010097|1102|3100054|2|21701|1.71|.14|.14||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|165527|19|1010097|1102|3100054|3|21708|232.93|19.41|19.41||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|181388|19|1010097|1102|3100054|3|21709|237.71|19.80|19.80||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|198869|19|1010097|1102|3100054|3|21707|212.52|17.71|17.71||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|230739|19|1010097|1102|3100054|3|21705|480.50|40.04|40.04||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|240623|19|1010097|1102|3100054|3|21712|176.68|14.72|14.72||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|288136|19|1010097|1102|3100054|3|21711|417.91|34.82|34.82||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|291538|19|1010097|1102|3100054|3|21706|168.51|14.04|14.04||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|369015|19|1010097|1102|3100054|3|21710|350.12|29.17|29.17||2019-01-01|2019-09-01|A1010097|12|9|334|360||
19101009711023100054|117566|19|1010097|1102|3100054|2|21701|1.71|.14|.14||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|165528|19|1010097|1102|3100054|3|21708|232.93|19.41|19.41||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|181389|19|1010097|1102|3100054|3|21709|237.71|19.80|19.80||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|198870|19|1010097|1102|3100054|3|21707|212.52|17.71|17.71||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|230740|19|1010097|1102|3100054|3|21705|480.50|40.04|40.04||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|240624|19|1010097|1102|3100054|3|21712|176.68|14.72|14.72||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|288137|19|1010097|1102|3100054|3|21711|417.91|34.82|34.82||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|291539|19|1010097|1102|3100054|3|21706|168.51|14.04|14.04||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|369016|19|1010097|1102|3100054|3|21710|350.12|29.17|29.17||2019-01-01|2019-10-01|A1010097|12|10|304|330||
19101009711023100054|117567|19|1010097|1102|3100054|2|21701|1.71|.14|.14||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|165529|19|1010097|1102|3100054|3|21708|232.93|19.41|19.41||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|181390|19|1010097|1102|3100054|3|21709|237.71|19.80|19.80||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|198871|19|1010097|1102|3100054|3|21707|212.52|17.71|17.71||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|230741|19|1010097|1102|3100054|3|21705|480.50|40.04|40.04||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|240625|19|1010097|1102|3100054|3|21712|176.68|14.72|14.72||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|288138|19|1010097|1102|3100054|3|21711|417.91|34.82|34.82||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|291540|19|1010097|1102|3100054|3|21706|168.51|14.04|14.04||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|369017|19|1010097|1102|3100054|3|21710|350.12|29.17|29.17||2019-01-01|2019-11-01|A1010097|12|11|273|300||
19101009711023100054|117568|19|1010097|1102|3100054|2|21701|1.71|.17|.17||2019-01-01|2019-12-01|A1010097|12|12|243|270||
19101009711023100054|165530|19|1010097|1102|3100054|3|21708|232.93|19.42|19.42||2019-01-01|2019-12-01|A1010097|12|12|243|270||
19101009711023100054|181391|19|1010097|1102|3100054|3|21709|237.71|19.91|19.91||2019-01-01|2019-12-01|A1010097|12|12|243|270||
19101009711023100054|198872|19|1010097|1102|3100054|3|21707|212.52|17.71|17.71||2019-01-01|2019-12-01|A1010097|12|12|243|270||
19101009711023100054|230742|19|1010097|1102|3100054|3|21705|480.50|40.06|40.06||2019-01-01|2019-12-01|A1010097|12|12|243|270||
19101009711023100054|240626|19|1010097|1102|3100054|3|21712|176.68|14.76|14.76||2019-01-01|2019-12-01|A1010097|12|12|243|270||
19101009711023100054|288139|19|1010097|1102|3100054|3|21711|417.91|34.89|34.89||2019-01-01|2019-12-01|A1010097|12|12|243|270||
19101009711023100054|291541|19|1010097|1102|3100054|3|21706|168.51|14.07|14.07||2019-01-01|2019-12-01|A1010097|12|12|243|270||
